MODE           Overlap              Correlation

Mode: 9        0.759547056636      0.502678274421
Mode: 37       0.274882204134      0.0404194084198
Mode: 36       -0.266695656516      0.116161361929
Mode: 23       0.260184892921      0.0752811758038
Mode: 608      0.224274263942      0.0255344947974
Mode: 189      -0.208122679764      0.143874874887
Mode: 355      0.165654954812      0.0535734675763
Mode: 56       0.14539061536      0.11985698672
Mode: 387      -0.137880035134      0.245587436772
Mode: 307      -0.130040876389      0.145317107434
Mode: 431      0.129748116252      0.00393644012495
Mode: 266      0.127670985761      0.365402264752
Mode: 209      -0.125625554503      0.11749071373
Mode: 778      0.123323445152      0.199863140218
Mode: 563      0.118339837405      0.288921914204
Mode: 531      0.117308325691      0.0482776271454
Mode: 627      -0.115252831139      0.385812821165
Mode: 285      -0.110606709587      0.113986386716
Mode: 388      0.109714346081      0.116537948241
Mode: 487      -0.109208927652      0.363723241508
Mode: 329      0.103521332245      0.318139322472
Mode: 200      0.101618069253      0.270377555807
Mode: 158      -0.0974307884741      0.0428469593326
Mode: 802      0.0966397886433      0.037601447724
Mode: 605      0.0946143956592      0.153946045035
Mode: 384      0.0882456904715      0.0391964647931
Mode: 196      0.0865390973787      0.0798609735357
Mode: 314      0.0864252876635      0.026370483241
Mode: 726      0.0860467383297      0.0419501194074
Mode: 93       0.0855402333154      0.169643362184
Mode: 377      -0.0852176366457      0.00381343708461
Mode: 244      0.08510617805      0.0625881540484
Mode: 614      -0.0848347887786      0.249901082547
Mode: 360      0.0841021248991      0.0131239872448
Mode: 81       -0.0839723434095      0.100254398014
Mode: 551      -0.0835523886851      0.220932503872
Mode: 319      0.0833448243337      0.0603629587686
Mode: 228      -0.0829087678673      0.14669608274
Mode: 638      0.0809496992224      0.272526842093
Mode: 696      -0.0803947621873      0.144334382925
Mode: 94       0.0799519589127      0.129557761849
Mode: 106      0.0789853069457      0.132245354531
Mode: 20       0.0788529879627      0.294057935758
Mode: 595      0.0763847520199      0.0375723677663
Mode: 519      -0.0751059411298      0.122774089663
Mode: 535      -0.074489346805      0.199595723867
Mode: 524      -0.073493778538      0.224021504791
Mode: 237      0.0733807743169      0.000695276971457
Mode: 662      -0.0686559585104      0.305309171796
Mode: 571      -0.0683207926152      0.0479767421737
Mode: 650      -0.06744309756      0.29315924983
Mode: 453      0.0674130896801      0.0926137212006
Mode: 99       0.0649005710519      0.02102835898
Mode: 116      0.0640970203081      0.107707709606
Mode: 596      -0.0637228153662      0.147039285517
Mode: 609      -0.0631103092764      0.070364025862
Mode: 111      0.0629202384773      0.104900842766
Mode: 252      -0.0622113285051      0.0872011508739
Mode: 210      -0.0618898682754      0.0392733508976
Mode: 160      -0.0606773113823      0.0274375082325
Mode: 217      0.0601343841013      0.107926343002
Mode: 46       -0.0591031915872      0.218386086043
Mode: 174      0.058213772757      0.0131886710234
Mode: 670      -0.05742953318      0.424717811832
Mode: 177      0.0569592703126      0.09563033658
Mode: 760      -0.0565982002416      0.245487912955
Mode: 511      -0.0563061786531      0.100205450022
Mode: 393      -0.0553424725197      0.105453837399
Mode: 665      0.054764964585      0.0990419036359
Mode: 785      0.0541800446543      0.114765317317
Mode: 708      0.0530273481298      0.208317835012
Mode: 367      -0.0516582151553      0.170930319616
Mode: 723      0.050523884075      0.121045255465
Mode: 540      0.0502020061823      0.296106462542
Mode: 292      -0.0481951438583      0.0826834354187
Mode: 304      -0.0450257514618      0.0668156363855
Mode: 121      0.0446928787444      0.202831793464
Mode: 61       0.0442895188768      0.166578850765
Mode: 31       0.043987371248      0.218083218781
Mode: 324      0.0436607427157      0.158244223049
Mode: 280      0.0432993383301      0.379952247315
Mode: 693      0.0432914312065      0.240407823473
Mode: 218      0.0426296002187      0.181151836608
Mode: 690      0.0425358883696      0.36150675196
Mode: 499      -0.0417778452306      0.0656001689337
Mode: 508      -0.0417027182449      0.00229356596242
Mode: 295      0.0416902657492      0.0241101850713
Mode: 777      0.0416250403945      0.0393011859655
Mode: 148      0.0414158169724      0.0216537269305
Mode: 339      0.0412738495653      0.0486675036221
Mode: 683      -0.040646916285      0.0535497424193
Mode: 761      0.0398933142014      0.111039015678
Mode: 532      -0.0391515958526      0.0284488808955
Mode: 426      -0.0388391156977      0.0682568063589
Mode: 752      -0.0372084819002      0.0404829264594
Mode: 635      0.0369835976439      0.390704484305
Mode: 90       0.0362004294868      0.13816248506
Mode: 73       0.0358072697279      0.133781975825
Mode: 753      0.0355793565693      0.145622355839
Mode: 441      0.033447847013      0.0152166488139
Mode: 564      -0.0321070104155      0.0594245170919
Mode: 186      0.0313814724547      0.0248817159139
Mode: 350      0.0305553303015      0.114750749817
Mode: 673      0.029662563208      0.153108948769
Mode: 457      0.0296177124996      0.134007399396
Mode: 269      0.0290381611029      0.171089707792
Mode: 486      -0.0289799835605      0.151347209547
Mode: 68       -0.028679530242      0.0387772132518
Mode: 139      -0.02831659233      0.00848476144912
Mode: 655      0.0281321162503      0.340851320545
